Column1,TIMESTAMP,DAP,C_irr(mm),D_irr(mm),C_N(ppm),D_N(ppm),C_N(mg/m2),D_N(mg/m2),Et_actual,Kc,ET_p,C20,C50,D20,D50
,,,,,,,,,,https://doi.org/10.1590/1807-1929/agriambi.v23n10p741-746,Yair meterological station,,,,
63,11/8/2023,64,6,6,50,50,300,300,3.822,1.47,2.6,0,0,0,0
64,11/9/2023,65,6,6,50,50,300,300,3.7191,1.47,2.53,120.33,225.06,111.91,136.12
65,11/10/2023,66,6,6,50,50,300,300,3.5868,1.47,2.44,,,,
66,11/11/2023,67,6,6,50,50,300,300,2.94,1.47,2,,,,
67,11/12/2023,68,7,7,120,120,840,840,2.9106,1.47,1.98,108.47,159.30,103.20,127.96
68,11/13/2023,69,7,7,120,120,840,840,4.1601,1.47,2.83,108.43,137.15,100.61,106.49
69,11/14/2023,70,7,7,120,120,840,840,4.0278,1.47,2.74,,,,
70,11/15/2023,71,7,7,120,120,840,840,3.4839,1.47,2.37,,,,
71,11/16/2023,72,7,7,120,120,840,840,3.7632,1.47,2.56,85.37,144.92,78.35,110.80
72,11/17/2023,73,7,7,120,0,840,0,3.4398,1.47,2.34,,,,
73,11/18/2023,74,7,7,120,0,840,0,3.4692,1.47,2.36,,,,
74,11/19/2023,75,7,7,120,0,840,0,5.586,1.47,3.8,57.80,113.68,34.95,87.77
75,11/20/2023,76,7,7,120,84,840,588,5.4243,1.47,3.69,92.16,114.21,30.79,42.71
76,11/21/2023,77,7,7,120,84,840,588,3.7926,1.47,2.58,,,,
77,11/22/2023,78,7,7,120,84,840,588,3.1017,1.47,2.11,,,,
78,11/23/2023,79,7,7,120,84,840,588,3.3075,1.47,2.25,,,,
79,11/24/2023,80,7,7,120,60,840,420,3.0576,1.47,2.08,,,,
80,11/25/2023,81,7,7,120,60,840,420,2.4402,1.47,1.66,,,,
81,11/26/2023,82,7,7,120,60,840,420,4.2189,1.47,2.87,98.25,92.21,17.01,43.12
82,11/27/2023,83,7,7,120,60,840,420,5.4096,1.47,3.68,100.72,92.02,18.89,39.60
83,11/28/2023,84,7,7,120,60,840,420,2.7342,1.47,1.86,102.54,79.00,14.68,30.61
84,11/29/2023,85,7,7,120,60,840,420,2.94,1.47,2,,,,
85,11/30/2023,86,5,5,120,84,600,420,3.1017,1.47,2.11,102.36,94.21,18.50,31.30
86,12/1/2023,87,5,5,120,84,600,420,2.6607,1.47,1.81,,,,
87,12/2/2023,88,5,5,120,84,600,420,2.6166,1.47,1.78,,,,
88,12/3/2023,89,5,5,120,84,600,420,2.9253,1.47,1.99,95.47,93.89,21.52,32.95
89,12/4/2023,90,5,5,120,84,600,420,2.6166,1.47,1.78,97.37,98.91,19.36,32.55
90,12/5/2023,91,5,5,120,84,600,420,2.0286,1.47,1.38,94.57,97.75,25.18,33.93
91,12/6/2023,92,5,5,120,84,600,420,2.9106,1.47,1.98,,,,
92,12/7/2023,93,5,5,120,84,600,420,2.793,1.47,1.9,,,,
93,12/8/2023,94,5,5,120,84,600,420,2.7048,1.47,1.84,,,,
94,12/9/2023,95,5,5,120,84,600,420,3.1458,1.47,2.14,,,,
95,12/10/2023,96,5,5,120,84,600,420,2.6166,1.47,1.78,,,,
96,12/11/2023,97,5,5,120,84,600,420,1.8963,1.47,1.29,93.30,95.46,36.55,41.08
97,12/12/2023,98,5,5,120,84,600,420,2.4402,1.47,1.66,143.12,157.71,60.79,78.19
98,12/13/2023,99,5,5,120,84,600,420,2.4696,1.47,1.68,142.21,153.01,59.63,70.92
99,12/14/2023,100,3,3,120,84,360,252,2.436,1.4,1.74,135.26,150.81,53.66,78.35
100,12/15/2023,101,3,3,120,84,360,252,2.52,1.4,1.8,123.06,157.15,52.94,77.09
101,12/16/2023,102,3,3,120,84,360,252,2.548,1.4,1.82,,,,
102,12/17/2023,103,3,3,120,84,360,252,2.394,1.4,1.71,,,,
103,12/18/2023,104,3,3,120,84,360,252,2.506,1.4,1.79,,,,
104,12/19/2023,105,3,3,120,84,360,252,2.814,1.4,2.01,,,,
105,12/20/2023,106,4,4,120,84,480,336,2.534,1.4,1.81,,,,
106,12/21/2023,107,4,4,120,84,480,336,2.254,1.4,1.61,71.28,127.86,8.10,44.27
107,12/22/2023,108,4,4,120,84,480,336,4.088,1.4,2.92,,,,
108,12/23/2023,109,4,4,120,84,480,336,4.396,1.4,3.14,,,,
109,12/24/2023,110,4,4,120,84,480,336,2.926,1.4,2.09,101.21,128.62,18.81,43.59
110,12/25/2023,111,4,4,120,84,480,336,2.646,1.4,1.89,124.73,125.71,30.61,42.19
111,12/26/2023,112,4,4,120,84,480,336,3.066,1.4,2.19,127.01,128.30,27.02,43.05
112,12/27/2023,113,4,4,120,84,480,336,2.772,1.4,1.98,125.23,137.06,32.14,44.37
113,12/28/2023,114,4,4,120,84,480,336,2.744,1.4,1.96,118.19,126.19,29.06,44.04
114,12/29/2023,115,4,4,120,84,480,336,2.66,1.4,1.9,,,,
115,12/30/2023,116,4,4,120,84,480,336,2.814,1.4,2.01,,,,
116,12/31/2023,117,4,4,120,84,480,336,2.506,1.4,1.79,120.25,120.21,40.43,41.11
117,1/1/2024,118,4,4,120,84,480,336,2.478,1.4,1.77,121.81,119.11,44.02,41.20
118,1/2/2024,119,4,4,120,84,480,336,2.73,1.4,1.95,37.91,18.23,1.04,
119,1/3/2024,120,4,4,120,60,480,240,2.674,1.4,1.91,102.60,95.24,9.40,33.36
120,1/4/2024,121,4,4,120,60,480,240,2.506,1.4,1.79,101.25,101.36,18.50,23.10
121,1/5/2024,122,4,4,120,60,480,240,2.646,1.4,1.89,,,,
122,1/6/2024,123,4,4,120,60,480,240,2.646,1.4,1.89,,,,
123,1/7/2024,124,4,4,120,60,480,240,2.604,1.4,1.86,,,,
124,1/8/2024,125,4,4,120,60,480,240,2.716,1.4,1.94,114.45,111.37,10.46,23.46
125,1/9/2024,126,4,4,120,60,480,240,3.052,1.4,2.18,,,,
126,1/10/2024,127,4,4,120,60,480,240,3.458,1.4,2.47,,,,
127,1/11/2024,128,4,4,120,60,480,240,4.032,1.4,2.88,,,,
