Date,treatment,NOflux,N2Oflux
,,ng N/m2 sec,mg N/m2 sec
10/25/2023,Predetermined,2.527595711,0.134413681
10/25/2023,Predetermined,2.527595711,0.134413681
10/25/2023,Predetermined,2.108049161,0.035585511
10/25/2023,Predetermined,2.108049161,0.035585511
10/25/2023,Predetermined,1.110112188,
10/25/2023,Predetermined,0.446899949,0.097145005
10/25/2023,Predetermined,0.446899949,0.097145005
10/25/2023,Predetermined,0.924366023,0.009222036
10/25/2023,Predetermined,0.924366023,0.009222036
10/25/2023,Predetermined,1.461283003,0.07061915
10/25/2023,Predetermined,1.461283003,0.07061915
10/25/2023,Predetermined,0.543057616,
10/25/2023,Predetermined,1.459271747,0.052051919
10/25/2023,Predetermined,1.459271747,0.052051919
10/25/2023,Predetermined,0.971325222,0.054728896
10/25/2023,Predetermined,0.971325222,0.054728896
10/25/2023,Predetermined,1.04219819,
10/25/2023,Predetermined,1.04219819,
11/8/2023,Predetermined,0.796633828,0.07937493
11/8/2023,Predetermined,2.30426694,
11/8/2023,Predetermined,1.228877955,
11/8/2023,Predetermined,1.031728236,
11/8/2023,Predetermined,,
11/8/2023,Predetermined,1.420098183,
11/8/2023,Predetermined,1.09635733,
11/8/2023,Predetermined,1.279716409,
11/29/2023,Predetermined,0.913045868,0.001980249
11/29/2023,Predetermined,,0.004605804
11/29/2023,Predetermined,0.656786478,
11/29/2023,Predetermined,1.044825002,0.122598669
11/29/2023,Predetermined,1.491368767,0.099933416
11/29/2023,Predetermined,0.99558425,0.104362235
11/29/2023,Predetermined,0.800358556,0.088280815
11/29/2023,Predetermined,0.702449863,
11/29/2023,Predetermined,0.350643085,0.029882414
11/29/2023,Predetermined,0.347876181,
12/13/2023,Predetermined,0.317740951,
12/13/2023,Predetermined,0.460299919,0.014349517
12/13/2023,Predetermined,0.19375392,
12/13/2023,DSNB,0.358652547,0.071757109
12/13/2023,DSNB,0.832337814,
12/13/2023,DSNB,0.282953428,
12/13/2023,DSNB,0.346810799,0.107780012
12/13/2023,DSNB,0.336018643,0.04180859
12/13/2023,Predetermined,0.741998915,0.070265487
12/13/2023,Predetermined,0.566374431,0.070771498
12/13/2023,Predetermined,0.392823683,0.069500292
1/3/2024,Predetermined,0.719437413,0.051777151
1/3/2024,Predetermined,0.407096933,
1/3/2024,Predetermined,0.488780843,0.078893968
1/3/2024,DSNB,0.603358505,
1/3/2024,DSNB,0.488934385,
1/3/2024,Predetermined,0.724040329,
1/3/2024,Predetermined,,0.087032242
1/3/2024,Predetermined,0.916120468,0.095890766
1/3/2024,Predetermined,0.715670918,0.121718929
1/3/2024,DSNB,0.405834637,
1/3/2024,DSNB,1.531720821,0.070505775
1/3/2024,DSNB,0.32073542,0.035519157
1/3/2024,Predetermined,0.088629664,0.091441797
1/3/2024,Predetermined,0.399821655,0.066118222
1/3/2024,DSNB,0.847633386,0.012657517
1/3/2024,DSNB,0.454377027,0.001818363
1/3/2024,Predetermined,0.141050054,0.060977221
1/3/2024,Predetermined,0.276441125,0.096008573
1/3/2024,Predetermined,1.145693826,0.096862428
1/3/2024,Predetermined,0.642666205,0.093862895
1/18/2024,DSNB,,0.015875357
1/18/2024,DSNB,0.27693639,0.078858381
1/18/2024,Predetermined,0.227219377,
1/18/2024,Predetermined,0.325734739,0.10361859
1/18/2024,Predetermined,0.401456565,0.071893786
1/18/2024,Predetermined,0.560530469,0.077292002
1/18/2024,DSNB,1.113650585,0.111833115
1/18/2024,DSNB,0.194761941,
1/18/2024,Predetermined,0.40784357,0.094136705
1/18/2024,Predetermined,0.306698152,0.094262732
1/18/2024,Predetermined,0.53542391,0.089744012
1/18/2024,DSNB,0.417080189,
1/18/2024,DSNB,0.410732382,0.014326634
1/18/2024,Predetermined,0.089262219,
1/18/2024,Predetermined,0.214332413,
1/18/2024,DSNB,0.378461206,0.014322463
1/18/2024,DSNB,0.402518015,0.036435186
1/18/2024,Predetermined,0.133203851,
1/18/2024,Predetermined,0.183357309,0.009633421
1/18/2024,Predetermined,0.405443565,
1/18/2024,Predetermined,0.465719231,
2/8/2024,DSNB,0.59369603,0.106590866
2/8/2024,DSNB,0.64701803,0.103891097
2/8/2024,Predetermined,0.268551713,0.036235594
2/8/2024,Predetermined,0.367015284,0.094606773
2/8/2024,DSNB,0.578617091,
2/8/2024,DSNB,0.313855559,0.039660582
2/8/2024,Predetermined,,0.039050823
2/8/2024,Predetermined,,0.01327055
2/8/2024,Predetermined,0.467247889,0.073504854
2/8/2024,Predetermined,0.511470103,0.039930471
2/8/2024,DSNB,0.476476605,0.069584282
2/8/2024,DSNB,1.213236901,0.069902666
2/8/2024,Predetermined,0.446976624,0.070751265
2/8/2024,Predetermined,0.333980153,0.070987255
2/8/2024,Predetermined,0.139207529,0.066741537
2/8/2024,Predetermined,0.271156164,0.037818256
2/8/2024,DSNB,0.420311201,0.096418783
2/8/2024,DSNB,0.354074418,0.065033289
2/8/2024,Predetermined,0.420077792,
2/8/2024,Predetermined,0.468776422,
2/8/2024,Predetermined,1.121662765,0.080834598
2/22/2024,Predetermined,0.679634455,0.025516564
2/22/2024,Predetermined,0.346318737,0.052814199
2/22/2024,Predetermined,0.654056981,0.019645628
2/22/2024,DSNB,0.426986365,0.041022678
2/22/2024,DSNB,0.253342842,0.074609906
2/22/2024,Predetermined,1.374238919,0.107021341
2/22/2024,Predetermined,0.274436249,0.103948568
2/22/2024,Predetermined,0.3206721,0.079908281
2/22/2024,Predetermined,0.427982605,0.063536784
2/22/2024,DSNB,0.264607386,0.06063202
2/22/2024,DSNB,0.558957872,0.066640555
2/22/2024,DSNB,0.907001233,0.085775208
2/22/2024,DSNB,0.330827662,0.000382609
2/22/2024,DSNB,0.17965478,
2/22/2024,DSNB,0.210644521,
2/22/2024,DSNB,0.356461068,0.043173877
2/22/2024,DSNB,0.264625223,0.067048593
2/22/2024,DSNB,0.130116788,
2/22/2024,DSNB,0.227346915,
2/22/2024,DSNB,0.401789203,
3/7/2024,DSNB,0.424462398,0.081259547
3/7/2024,DSNB,0.530946528,0.025305145
3/7/2024,DSNB,0.199060302,0.083255508
3/7/2024,DSNB,0.1233428,0.111206162
3/7/2024,DSNB,0.527353214,
3/7/2024,DSNB,0.205395717,
3/7/2024,DSNB,0.227401951,0.039538214
3/7/2024,DSNB,0.254305707,0.007686873
3/7/2024,DSNB,0.202307354,0.03872609
3/7/2024,DSNB,0.422439977,0.104147426
3/7/2024,DSNB,0.448123256,0.073961548
3/7/2024,DSNB,0.637818507,0.098824227
3/7/2024,DSNB,0.351101665,
3/7/2024,DSNB,0.330325578,
3/7/2024,DSNB,0.325990419,0.039260312
3/7/2024,DSNB,0.41419067,0.044582766
3/7/2024,DSNB,0.458966944,0.042349343
3/7/2024,DSNB,0.42369636,0.043605991
3/7/2024,DSNB,0.368305201,0.044539178
3/7/2024,DSNB,0.688621364,
3/28/2024,DSNB,0.725434355,0.053780742
3/28/2024,DSNB,2.508664116,0.065826276
3/28/2024,DSNB,0.650092352,0.097257693
3/28/2024,DSNB,0.495692713,0.12117674
3/28/2024,DSNB,0.522302828,0.110025273
3/28/2024,DSNB,0.910788782,0.076857002
3/28/2024,DSNB,0.590538401,0.071928483
3/28/2024,DSNB,0.474861058,0.010823505
3/28/2024,DSNB,0.604347615,0.068499697
3/28/2024,DSNB,0.221420901,0.064434089
3/28/2024,DSNB,0.405526539,0.066107813
3/28/2024,DSNB,0.778773286,0.001162968
3/28/2024,DSNB,0.499707176,0.030948225
3/28/2024,DSNB,0.333409288,
3/28/2024,DSNB,0.296945535,0.031509289
3/28/2024,DSNB,0.227171898,0.00194846
3/28/2024,DSNB,0.44853473,0.002292443
3/28/2024,DSNB,0.324289595,
3/28/2024,DSNB,0.355233072,
3/28/2024,DSNB,0.521553963,
3/28/2024,DSNB,0.807901669,
4/11/2024,Predetermined,0.481902569,0.077318752
4/11/2024,Predetermined,0.368173844,0.13515039
4/11/2024,Predetermined,0.528599348,0.107726662
4/11/2024,DSNB,0.29551955,
4/11/2024,DSNB,0.395471534,0.070027863
4/11/2024,DSNB,0.258220638,0.102565277
4/11/2024,DSNB,0.278056657,0.105484359
4/11/2024,DSNB,0.177277432,0.049933898
4/11/2024,DSNB,0.256657354,0.111713098
4/11/2024,DSNB,0.316552652,0.054213089
4/11/2024,DSNB,0.275972367,0.097273397
4/11/2024,Predetermined,0.844121743,0.069894779
4/11/2024,Predetermined,0.091974154,0.103144075
4/11/2024,DSNB,0.508384037,0.013874152
4/11/2024,DSNB,0.115698368,0.075480233
4/11/2024,DSNB,0.409117034,0.072815011
4/11/2024,DSNB,0.251430076,0.104473757
4/11/2024,DSNB,0.275179169,0.103779452
4/11/2024,DSNB,0.228819137,0.037184884
4/11/2024,DSNB,0.234771129,
4/11/2024,Predetermined,0.400944695,0.105318696
4/11/2024,Predetermined,11.84482196,0.138278977
4/11/2024,DSNB,0.579747546,
4/11/2024,DSNB,0.276917363,0.039328169
4/11/2024,DSNB,0.201811941,0.041754366
4/11/2024,DSNB,0.102749706,0.00736885
4/11/2024,DSNB,0.759282883,0.039157819
4/11/2024,DSNB,0.663051222,0.07029788
